今回問,ページ,分野,テーマ,確度,最有力種別,最有力掲載ページ,最有力URL,完全同一確認,確認メモ
問1,P.4,基礎理論,情報落ちを防ぐ加算順序,A,基本情報・公開問題（令和7年度公開問題）,問2 / 丸め誤差の説明はどれか,https://www.fe-siken.com/kakomon/07_haru/a2.html,未確認,情報落ち・丸め誤差・浮動小数点
問2,P.4,基礎理論,マルコフ過程：2日後の確率,B,基本情報・修了試験（午前免除試験 令和2年1月 問47）,問47 / 令和2年度問47 状態遷移図で設計するシステム,https://www.fe-siken.com/kakomon/02_menjo/q47.html,未確認,状態遷移
問3,P.5,AI,LLMのファインチューニング,S,基本情報・公開問題（令和7年度公開問題）,問1 / ファインチューニングはどれか,https://www.fe-siken.com/kakomon/07_haru/a1.html,確認済み,問題文・選択肢まで目視照合で一致
問4,P.5,コンピュータ,A/D変換器の用途,A,応用情報・22_aki 問13,問13 / A/D、D/A変換器,https://www.ap-siken.com/kakomon/22_aki/q13.html,未確認,A/D・AD変換・アナログ
問5,P.5,アルゴリズム,完全二分探索木の構成,B,基本情報・修了試験（午前免除試験 令和6年6月 問5）,問5 / 令和6年度問5 完全2分木の特徴,https://www.fe-siken.com/kakomon/06_menjo/q5.html,未確認,完全2分木
問6,P.6,アルゴリズム,行きがけ順の深さ優先探索,C,応用情報・03_haru 問6,問6 / 2分木の探索順,https://www.ap-siken.com/kakomon/03_haru/q6.html,未確認,行きがけ順・深さ優先・先行順／タイトル一致なし。本文・周辺語ヒットのため要確認
問7,P.6,プログラミング,メソッドのオーバーロード,C,基本情報・修了試験（午前免除試験 令和5年7月 問7）,問7 / 令和5年度問7 オーバーライドの説明はどれか,https://www.fe-siken.com/kakomon/05_menjo/q7.html,未確認,オーバーロード／タイトル一致なし。本文・周辺語ヒットのため要確認
問8,P.6,コンピュータ,命令実行時間とMIPS,B,基本情報・修了試験（午前免除試験 令和4年7月 問11）,問11 / 令和4年度問11 MIPSの計算,https://www.fe-siken.com/kakomon/04_menjo/q11.html,未確認,MIPS
問9,P.7,コンピュータ,16ビットタイマーのオーバーフロー,B,基本情報・修了試験（午前免除試験 令和3年7月 問36）,問36 / 令和3年度問36 データベースのアカウントと権限,https://www.fe-siken.com/kakomon/03_menjo/q36.html,未確認,カウント
問10,P.7,コンピュータ,ディスクのストライピング,A,基本情報・修了試験（午前免除試験 令和6年1月 問10）,問10 / 令和6年度問10 RAIDの分類,https://www.fe-siken.com/kakomon/06_menjo/q10.html,未確認,ストライピング・RAID
問11,P.7,システム,フェールセーフ,B,基本情報・修了試験（午前免除試験 令和3年6月 問15）,問15 / 令和3年度問15 フェールセーフの考え方,https://www.fe-siken.com/kakomon/03_menjo/q15.html,未確認,フェールセーフ
問12,P.8,システム,Web/DBサーバのCPU増設,C,応用情報・06_aki 問4,問4 / システムアーキテクチャ,https://www.ap-siken.com/kakomon/06_aki/pm04.html,未確認,Web・DB・CPU・ボトルネック／タイトル一致なし。本文・周辺語ヒットのため要確認
問13,P.8,コンピュータ,ページ番号とページ内変位,C,応用情報・26_haru 問18,問18 / アドレス変換のタイミング,https://www.ap-siken.com/kakomon/26_haru/q18.html,未確認,ページ内変位・仮想アドレス／タイトル一致なし。本文・周辺語ヒットのため要確認
問14,P.9,開発技術,ローコード開発,S,基本情報・公開問題（令和7年度公開問題）,問5 / ローコード開発ツール,https://www.fe-siken.com/kakomon/07_haru/a5.html,確認済み,問題文・選択肢まで目視照合で一致
問15,P.9,法務,GPLとソース公開義務,B,応用情報・07_haru 問16,問16 / OSSライセンスの適切な組合せ,https://www.ap-siken.com/kakomon/07_haru/q16.html,未確認,GPL・ソース・OSS
問16,P.10,コンピュータ,アノードコモン7セグLED,C,応用情報・23_toku 問7,問7 / 組込みシステム開発,https://www.ap-siken.com/kakomon/23_toku/pm07.html,未確認,7セグ・LED
問17,P.10,マルチメディア,バーチャルサラウンド,未確認,未確認,未確認 / 未確認,,未確認,今回取得した範囲では該当候補なし
問18,P.11,データベース,NoSQL：グラフ型DB,B,応用情報・07_aki 問26,問26 / NoSQLデータベースシステム,https://www.ap-siken.com/kakomon/07_aki/q26.html,未確認,NoSQL・ノード
問19,P.11,データベース,関係Rの正規形,A,応用情報・04_haru 問28,問28 / 正規形と特徴の組合せ,https://www.ap-siken.com/kakomon/04_haru/q28.html,未確認,正規形・関数従属・第2正規形・第3正規形
